,Device,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp
0,A BF,0.19,0.01,0.002,0.202,95,5,3,1,6.3,5.985,6.04485,0.19,0.01,0.002,0.202,95,5,2,1,5.6,5.32,5.3732,0.17,0.02,0.002,0.192,95,5,2,1,5.6,5.32,5.1072,0.17,0.02,0.002,0.192,95,5,2,1,5.6,5.32,5.1072,15.9495,15.403395,11.04432,42.397215,2.68421052631579,2.68421052631579,4.82352941176471,4.82352941176471,-9.09090909090909,-9.09090909090909,29.0322580645162,29.0322580645162,-226.530612244898,-226.530612244898,-206.122448979592,-206.122448979592,0,0,0,0.18,0.02,0.002,0.202,97,5,3,1,6.3,6.111,6.17211,0.19,0.01,0.002,0.202,95,5,2,1,5.6,5.32,5.3732,0.17,0.02,0.002,0.192,95,5,2,1,5.6,5.32,5.1072,0.17,0.02,0.002,0.192,100,5,2,1,5.6,5.6,5.376,16.0377,15.688477,11.23248,42.958657,5.66666666666667,2.68421052631579,4.82352941176471,4.82352941176471,-4.76190476190463,-9.09090909090909,29.0322580645162,29.0322580645162,-226.530612244898,-226.530612244898,-206.122448979592,-206.122448979592,0,0,0,0.18,0.02,0.002,0.202,97,5,3,1,6.3,6.111,6.17211,0.19,0.01,0.002,0.202,100,5,2,1,5.6,5.6,5.656,0.17,0.02,0.002,0.192,95,5,2,1,5.6,5.32,5.1072,0.17,0.02,0.002,0.192,100,5,2,1,5.6,5.6,5.376,16.0377,15.884477,11.43044,43.352617,5.66666666666667,2.68421052631579,4.82352941176471,4.82352941176471,-4.76190476190463,-9.09090909090909,29.0322580645162,29.0322580645162,-226.530612244898,-226.530612244898,-206.122448979592,-206.122448979592,0,0,0,0.16,0.02,0.005,0.185,97,5,3,1,6.3,6.111,5.652675,0.19,0.01,0.002,0.202,100,5,2,1,5.6,5.6,5.656,0.17,0.02,0.002,0.192,95,5,2,1,5.6,5.32,5.1072,0.15,0.03,0.002,0.182,101,5,2,1,5.6,5.656,5.14696,16.0377,15.5600725,11.270112,42.8678845,4.25,2.68421052631579,4.82352941176471,6.2,39.0243902439025,-9.09090909090909,29.0322580645162,37.2549019607843,-204.347826086956,-226.530612244898,-206.122448979592,-185.714285714286,0,0,0
1,B BF,0.12,0.03,0.03,0.18,98,5,3,1,6.3,6.174,5.5566,0.12,0.03,0.04,0.19,110,4,3,1,5.6,6.16,4.6816,0.12,0.03,0.05,0.2,110,4,3,1,5.6,6.16,4.928,0.12,0.03,0.05,0.2,110,4,3,1,5.6,6.16,4.928,16.0818,16.82562,10.26032,43.16774,7.25,9.75,12.25,12.25,25.9259259259259,9.90990990990992,1.23456790123457,1.23456790123457,-423.809523809524,-900,-10900,-10900,0,0,0,0.13,0.03,0.03,0.19,98,5,3,1,6.3,6.174,5.8653,0.12,0.03,0.04,0.19,110,4,3,1,5.6,6.16,4.6816,0.13,0.03,0.05,0.21,110,4,3,1,5.6,6.16,5.1744,0.12,0.03,0.05,0.2,110,4,3,1,5.6,6.16,4.928,16.0818,17.04171,10.4328,43.55631,9,9.75,13.6153846153846,12.25,15.4929577464789,9.90990990990992,-12.6760563380282,1.23456790123457,-471.428571428571,-900,-11900,-10900,0,0,0,0.13,0.03,0.03,0.19,98,5,3,1,6.3,6.174,5.8653,0.12,0.03,0.04,0.19,110,4,3,1,5.6,6.16,4.6816,0.13,0.03,0.05,0.21,110,4,3,1,5.6,6.16,5.1744,0.12,0.03,0.05,0.2,110,4,3,1,5.6,6.16,4.928,16.0818,17.04171,10.4328,43.55631,9,9.75,13.6153846153846,12.25,15.4929577464789,9.90990990990992,-12.6760563380282,1.23456790123457,-471.428571428571,-900,-11900,-10900,0,0,0,0.12,0.03,0.03,0.18,98,5,3,1,6.3,6.174,5.5566,0.12,0.03,0.04,0.19,110,4,3,1,5.6,6.16,4.6816,0.13,0.03,0.05,0.21,110,4,3,1,5.6,6.16,5.1744,0.12,0.03,0.05,0.2,110,4,3,1,5.6,6.16,4.928,16.0818,16.82562,10.4328,43.34022,7.25,9.75,13.6153846153846,12.25,25.9259259259259,9.90990990990992,-12.6760563380282,1.23456790123457,-423.809523809524,-900,-11900,-10900,0,0,0
2,C BF,0.12,0.03,0.03,0.18,90,5,3,1,6.3,5.67,5.103,0.12,0.03,0.03,0.18,100,4,3,1,5.6,5.6,4.032,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,16.709,17.6351,13.0494,47.3935,7.25,7.25,10.5,10.5,25.9259259259259,25.9259259259259,1.63934426229508,1.63934426229508,-423.809523809524,-423.809523809524,-519.047619047619,-519.047619047619,0,0,0,0.12,0.03,0.04,0.19,90,5,3,1,6.3,5.67,5.3865,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.14,0.04,0.03,0.21,115,5,3,1,6.3,7.245,7.60725,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,17.199,18.76455,14.846475,50.810025,9.75,7.25,16.8571428571429,10.5,13.5802469135803,25.9259259259259,-14.7540983606558,1.63934426229508,-900,-423.809523809524,-566.666666666667,-519.047619047619,0,0,0,0.12,0.03,0.04,0.19,90,5,3,1,6.3,5.67,5.3865,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.14,0.04,0.03,0.21,115,5,3,1,6.3,7.245,7.60725,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,17.199,18.76455,14.846475,50.810025,9.75,7.25,16.8571428571429,10.5,13.5802469135803,25.9259259259259,-14.7540983606558,1.63934426229508,-900,-423.809523809524,-566.666666666667,-519.047619047619,0,0,0,0.12,0.03,0.03,0.18,90,5,3,1,6.3,5.67,5.103,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.14,0.04,0.03,0.21,115,5,3,1,6.3,7.245,7.60725,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,17.199,18.5661,14.846475,50.611575,7.25,7.25,16.8571428571429,10.5,25.9259259259259,25.9259259259259,-14.7540983606558,1.63934426229508,-423.809523809524,-423.809523809524,-566.666666666667,-519.047619047619,0,0,0
3,D BF,0.13,0.009,0.003,0.142,92,5,3,1,6.3,5.796,4.11516,0.14,0.06,0.003,0.203,110,4,2,1,4.9,5.39,4.37668,0.13,0.06,0.005,0.195,110,5,3,1,6.3,6.93,6.75675,0.1,0.05,0.005,0.155,105,4,3,2,6.3,6.615,4.1013,16.3072,16.135112,10.762311,43.204623,-0.623076923076922,22.2857142857143,20.3076923076923,2,83.0985915492958,-3.27868852459017,8.45070422535212,45.5445544554456,-106.25,-233.333333333333,-226.086956521739,-139.130434782609,0,83.0985915492958,0,0.13,0.03,0.03,0.19,98,5,3,1,6.3,6.174,5.8653,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.13,0.03,0.05,0.21,110,4,3,1,5.6,6.16,5.1744,0.15,0.05,0.005,0.205,111,5,3,2,7,7.77,7.96425,17.5518,18.70771,13.646955,49.906465,9,7.25,13.6153846153846,18,15.4929577464789,25.9259259259259,-12.6760563380282,-7.84313725490191,-471.428571428571,-423.809523809524,-11900,-247.826086956522,0,0,0,0.13,0.05,0.005,0.185,100,4,3,1,5.6,5.6,4.144,0.15,0.06,0.008,0.218,105,5,4,1,7,7.35,8.0115,0.14,0.06,0.03,0.23,110,6,2,1,6.3,6.93,9.5634,0.14,0.009,0.006,0.155,111,5,3,2,7,7.77,6.02175,18.13,18.3358,16.622655,53.088455,13.0769230769231,26.8,33.8571428571429,0.257142857142859,22.5352112676056,-33.3333333333333,-47.5409836065574,75.4098360655737,-204.347826086956,-295.348837209302,-661.904761904762,-142.222222222222,0,75.4098360655737,0,0.15,0.008,0.004,0.162,103,4,3,1,5.6,5.768,3.737664,0.13,0.06,0.006,0.196,114,5,4,1,7,7.98,7.8204,0.14,0.05,0.03,0.22,110,4,2,1,4.9,5.39,4.7432,0.13,0.05,0.008,0.188,105,5,3,1,6.3,6.615,6.2181,16.7776,16.6058648,13.23819,46.6216548,0.586666666666667,20.7692307692308,24.6428571428572,14.2307692307692,76.4705882352941,7.04225352112677,-31.1475409836066,18.3098591549296,-151.063829787234,-233.333333333333,-614.285714285714,-225.581395348837,0,76.4705882352941,0
4,A Con,0.12,0.03,0.03,0.18,110,5,2,1,5.6,6.16,5.544,0.12,0.03,0.03,0.18,115,4,2,1,4.9,5.635,4.0572,0.13,0.03,0.03,0.19,119,4,2,1,4.9,5.831,4.43156,0.13,0.03,0.03,0.19,119,4,2,1,4.9,5.831,4.43156,14.602,15.9887,9.128224,39.718924,7.25,7.25,9,9,25.9259259259259,25.9259259259259,15.4929577464789,15.4929577464789,-423.809523809524,-423.809523809524,-471.428571428571,-471.428571428571,0,0,0,0.12,0.03,0.03,0.18,109,5,2,1,5.6,6.104,5.4936,0.12,0.03,0.03,0.18,115,4,2,1,4.9,5.635,4.0572,0.13,0.03,0.04,0.2,119,4,2,1,4.9,5.831,4.6648,0.13,0.03,0.03,0.19,119,4,2,1,4.9,5.831,4.43156,14.5628,15.95342,9.291492,39.807712,7.25,7.25,11.3076923076923,9,25.9259259259259,25.9259259259259,1.40845070422535,15.4929577464789,-423.809523809524,-423.809523809524,-990.909090909091,-471.428571428571,0,0,0,0.12,0.04,0.03,0.19,109,5,2,1,5.6,6.104,5.7988,0.12,0.03,0.03,0.18,115,4,2,1,4.9,5.635,4.0572,0.13,0.03,0.04,0.2,119,4,2,1,4.9,5.831,4.6648,0.13,0.03,0.03,0.19,119,4,2,1,4.9,5.831,4.43156,14.5628,16.16706,9.291492,40.021352,13,7.25,11.3076923076923,9,13.5802469135803,25.9259259259259,1.40845070422535,15.4929577464789,-471.428571428571,-423.809523809524,-990.909090909091,-471.428571428571,0,0,0,0.12,0.04,0.03,0.19,109,5,2,1,5.6,6.104,5.7988,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.13,0.03,0.04,0.2,119,4,3,1,5.6,6.664,5.3312,0.13,0.04,0.03,0.2,119,4,2,1,4.9,5.831,4.6648,16.0328,17.65666,11.4471,45.13656,13,7.25,11.3076923076923,15.0769230769231,13.5802469135803,25.9259259259259,1.40845070422535,1.40845070422535,-471.428571428571,-423.809523809524,-990.909090909091,-519.047619047619,0,0,0
5,B Con,0.12,0.02,0.03,0.17,110,3,3,1,4.9,5.39,2.7489,0.12,0.04,0.03,0.19,115,5,3,2,7,8.05,7.6475,0.12,0.03,0.03,0.18,115,5,3,2,7,8.05,7.245,0.12,0.03,0.03,0.18,115,5,3,2,7,8.05,7.245,18.473,18.82923,15.58025,52.88248,3.16666666666667,13,7.25,7.25,38.2716049382716,13.5802469135803,25.9259259259259,25.9259259259259,-376.190476190476,-471.428571428571,-423.809523809524,-423.809523809524,0,0,0,0.12,0.02,0.03,0.17,110,3,3,1,4.9,5.39,2.7489,0.12,0.04,0.03,0.19,115,5,3,2,7,8.05,7.6475,0.13,0.03,0.03,0.19,114,5,3,2,7,7.98,7.581,0.12,0.03,0.03,0.18,120,5,3,2,7,8.4,7.56,18.473,19.02523,16.03595,53.53418,3.16666666666667,13,9,7.25,38.2716049382716,13.5802469135803,15.4929577464789,25.9259259259259,-376.190476190476,-471.428571428571,-471.428571428571,-423.809523809524,0,0,0,0.13,0.02,0.03,0.18,110,3,3,1,4.9,5.39,2.9106,0.12,0.04,0.03,0.19,113,5,3,2,7,7.91,7.5145,0.13,0.03,0.03,0.19,114,5,3,2,7,7.98,7.581,0.12,0.03,0.03,0.18,120,5,3,2,7,8.4,7.56,18.473,19.04042,15.94285,53.45627,4.46153846153846,13,9,7.25,29.5774647887324,13.5802469135803,15.4929577464789,25.9259259259259,-423.809523809524,-471.428571428571,-471.428571428571,-423.809523809524,0,0,0,0.13,0.02,0.03,0.18,110,4,3,1,5.6,6.16,4.4352,0.12,0.04,0.03,0.19,112,5,3,2,7,7.84,7.448,0.13,0.03,0.03,0.19,114,4,2,2,5.6,6.384,4.85184,0.12,0.03,0.03,0.18,120,5,3,2,7,8.4,7.56,18.032,18.94144,13.985888,50.959328,4.46153846153846,13,9,7.25,29.5774647887324,13.5802469135803,15.4929577464789,25.9259259259259,-423.809523809524,-471.428571428571,-471.428571428571,-423.809523809524,0,0,0
6,C Con,0.12,0.03,0.01,0.16,110,5,3,1,6.3,6.93,5.544,0.12,0.03,0.01,0.16,115,4,3,1,5.6,6.44,4.1216,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,17.591,18.9728,12.49472,49.05852,2.25,2.25,6.21428571428572,6.21428571428572,50.6172839506173,50.6172839506173,34.4262295081967,34.4262295081967,-168.292682926829,-168.292682926829,-217.073170731707,-217.073170731707,0,0,0,0.13,0.03,0.01,0.17,110,4,3,1,5.6,6.16,4.1888,0.12,0.03,0.01,0.16,115,5,3,1,6.3,7.245,5.796,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,17.542,18.58766,13.6668,49.79646,4.38461538461539,2.25,6.21428571428572,6.21428571428572,43.6619718309859,50.6172839506173,34.4262295081967,34.4262295081967,-192.682926829268,-168.292682926829,-217.073170731707,-217.073170731707,0,0,0,0.13,0.03,0.01,0.17,110,4,3,1,5.6,6.16,4.1888,0.12,0.03,0.01,0.16,115,5,3,1,6.3,7.245,5.796,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,17.542,18.58766,13.6668,49.79646,4.38461538461539,2.25,6.21428571428572,6.21428571428572,43.6619718309859,50.6172839506173,34.4262295081967,34.4262295081967,-192.682926829268,-168.292682926829,-217.073170731707,-217.073170731707,0,0,0,0.13,0.03,0.01,0.17,110,4,3,1,5.6,6.16,4.1888,0.12,0.03,0.01,0.16,115,4,3,1,5.6,6.44,4.1216,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.01,0.18,121,5,3,1,6.3,7.623,6.8607,17.052,18.06826,12.53441,47.65467,4.38461538461539,2.25,6.21428571428572,6.21428571428572,43.6619718309859,50.6172839506173,34.4262295081967,34.4262295081967,-192.682926829268,-168.292682926829,-217.073170731707,-217.073170731707,0,0,0
7,D Con,0.12,0.02,0.03,0.17,110,4,3,1,5.6,6.16,4.1888,0.12,0.04,0.03,0.19,115,4,3,1,5.6,6.44,4.8944,0.18,0.09,0.01,0.28,115,5,3,1,6.3,7.245,10.143,0.15,0.1,0.01,0.26,117,4,2,1,4.9,5.733,5.96232,16.072,16.52476,14.783804,47.380564,3.16666666666667,13,64.5,72.6666666666667,38.2716049382716,13.5802469135803,-376.190476190476,-115.686274509804,-376.190476190476,-471.428571428571,-460.975609756097,-412.19512195122,137.166666666667,0,0,0.14,0.05,0.002,0.192,110,4,3,1,5.6,6.16,4.73088,0.15,0.05,0.01,0.21,115,4,3,1,5.6,6.44,5.4096,0.2,0.009,0.01,0.219,115,4,3,1,5.6,6.44,5.64144,0.15,0.08,0.01,0.24,117,4,2,1,4.9,5.733,5.50368,15.582,16.340716,11.693304,43.61602,14.6428571428571,19.6666666666667,3.06,47.4666666666667,14.7540983606558,-17.6470588235294,-1800,-76.470588235294,-206.122448979592,-290.243902439024,-312.19512195122,-363.414634146341,0,0,0,0.14,0.06,0.005,0.205,119,4,3,1,5.6,6.664,5.46448,0.16,0.07,0.03,0.26,115,5,3,1,6.3,7.245,9.4185,0.17,0.006,0.03,0.206,115,4,3,1,5.6,6.44,5.30656,0.14,0.06,0.01,0.21,121,4,2,1,4.9,5.929,4.98036,16.4248,17.554936,13.905794,47.88553,23.1428571428571,47.6875,1.94117647058824,25.2857142857143,-6.55737704918033,-143.90243902439,-16.1290322580645,-14.7540983606558,-247.826086956522,-804.761904761905,-547.619047619048,-290.243902439024,0,0,0,0.2,0.09,0.009,0.299,119,4,3,1,5.6,6.664,7.970144,0.22,0.09,0.03,0.34,116,5,3,1,6.3,7.308,12.4236,0.17,0.009,0.03,0.209,115,5,3,1,6.3,7.245,7.571025,0.13,0.05,0.02,0.2,121,4,2,1,4.9,5.929,4.7432,16.9148,19.9165008,17.4704775,54.3017783,66.6,77.3181818181818,3.07058823529412,18.8461538461539,-9800,731.578947368421,-25.8064516129032,1.40845070422535,-495.238095238095,-1185.71428571429,-561.904761904762,-351.612903225806,143.918181818182,731.578947368421,0
8,A ClgW,0.12,0.03,0.03,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.03,0.2,120,4,2,1,4.9,5.88,4.704,0.12,0.03,0.03,0.18,118,4,2,1,4.9,5.782,4.16304,0.12,0.03,0.03,0.18,118,4,2,1,4.9,5.782,4.16304,15.582,16.9736,9.219056,41.774656,7.25,10.5,7.25,7.25,25.9259259259259,1.63934426229508,25.9259259259259,25.9259259259259,-423.809523809524,-519.047619047619,-423.809523809524,-423.809523809524,0,0,0,0.12,0.03,0.03,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.03,0.2,120,4,2,1,4.9,5.88,4.704,0.13,0.03,0.04,0.2,119,4,2,1,4.9,5.831,4.6648,0.12,0.03,0.03,0.18,118,5,2,1,5.6,6.608,5.9472,16.072,17.5861,10.8192,44.4773,7.25,10.5,11.3076923076923,7.25,25.9259259259259,1.63934426229508,1.40845070422535,25.9259259259259,-423.809523809524,-519.047619047619,-990.909090909091,-423.809523809524,0,0,0,0.13,0.03,0.01,0.17,110,5,2,1,5.6,6.16,5.236,0.14,0.03,0.03,0.2,120,4,2,1,4.9,5.88,4.704,0.12,0.03,0.03,0.18,118,4,2,1,4.9,5.782,4.16304,0.12,0.03,0.03,0.18,118,5,2,1,5.6,6.608,5.9472,15.092,16.4542,10.467968,42.014168,4.38461538461539,10.5,7.25,7.25,43.6619718309859,1.63934426229508,25.9259259259259,25.9259259259259,-192.682926829268,-519.047619047619,-423.809523809524,-423.809523809524,0,0,0,0.12,0.03,0.03,0.18,120,5,2,1,5.6,6.72,6.048,0.14,0.03,0.03,0.2,120,4,2,1,4.9,5.88,4.704,0.12,0.03,0.03,0.18,118,4,3,1,5.6,6.608,4.75776,0.12,0.03,0.03,0.18,121,5,2,1,5.6,6.776,6.0984,15.974,17.7184,10.990112,44.682512,7.25,10.5,7.25,7.25,25.9259259259259,1.63934426229508,25.9259259259259,25.9259259259259,-423.809523809524,-519.047619047619,-423.809523809524,-423.809523809524,0,0,0
9,B ClgW,0.21,0.1,0.002,0.312,120,5,3,1,6.3,7.56,11.7936,0.22,0.11,0.009,0.339,117,5,3,1,6.3,7.371,12.493845,0.19,0.1,0.01,0.3,115,5,3,2,7,8.05,12.075,0.1,0.04,0.01,0.15,120,5,3,1,6.3,7.56,5.67,19.012,24.34222,21.3211915,64.6754115,76.6666666666667,94,78.4210526315789,-0.399999999999989,1233.33333333334,726.315789473684,-899.999999999999,50.4950495049505,-451.020408163265,-590.47619047619,-509.756097560976,-143.90243902439,249.087719298246,1959.64912280702,0,0.23,0.09,0.002,0.322,119,5,4,2,7.7,9.163,14.75243,0.22,0.07,0.02,0.31,120,5,3,1,6.3,7.56,11.718,0.2,0.009,0.01,0.219,115,5,3,1,6.3,7.245,7.933275,0.1,0.04,0.01,0.15,120,4,3,1,5.6,6.72,4.032,19.1541,25.394201,16.7322925,61.2805935,66.9130434782609,50.5909090909091,3.06,-0.399999999999989,417.241379310345,573.684210526316,-1800,50.4950495049505,-471.428571428571,-706.451612903226,-312.19512195122,-143.90243902439,66.9130434782609,990.925589836661,0,0.21,0.08,0.005,0.295,119,5,4,1,7,8.33,12.28675,0.1,0.03,0.01,0.14,120,5,3,1,6.3,7.56,5.292,0.19,0.008,0.03,0.228,115,5,3,1,6.3,7.245,8.2593,0.1,0.04,0.01,0.15,121,4,3,1,5.6,6.776,4.0656,18.571,23.707425,12.40183,54.680255,54.8571428571429,-3.29999999999999,3.24210526315789,-0.399999999999989,1044.44444444445,60.3960396039604,-245.454545454545,50.4950495049505,-443.478260869565,-119.512195121951,-652.380952380952,-143.90243902439,0,1104.84048404841,0,0.11,0.03,0.01,0.15,121,5,4,1,7,8.47,6.3525,0.1,0.03,0.01,0.14,120,5,2,1,5.6,6.72,4.704,0.11,0.04,0.01,0.16,120,5,3,1,6.3,7.56,6.048,0.1,0.04,0.01,0.15,121,4,3,1,5.6,6.776,4.0656,18.179,19.18595,10.44232,47.80727,-0.272727272727273,-3.29999999999999,3.27272727272728,-0.399999999999989,56.0439560439561,60.3960396039604,45.0549450549451,50.4950495049505,-143.90243902439,-119.512195121951,-168.292682926829,-143.90243902439,0,60.3960396039604,0
