,Device,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp
0,A BF,0.13,0.04,0.01,0.18,115,5,3,1,6.3,7.245,6.5205,0.12,0.03,0.01,0.16,115,4,3,1,5.6,6.44,4.1216,0.12,0.03,0.01,0.16,115,4,2,1,4.9,5.635,3.6064,0.15,0.03,0.01,0.19,119,4,2,1,4.9,5.831,4.43156,15.8515,17.09855,8.595692,41.545742,8.92307692307692,2.25,2.25,7.8,29.5774647887324,50.6172839506173,50.6172839506173,21.5686274509804,-217.073170731707,-168.292682926829,-168.292682926829,-241.463414634146,0,0,0,0.12,0.03,0.01,0.16,121,5,2,1,5.6,6.776,5.4208,0.12,0.03,0.01,0.16,115,4,3,1,5.6,6.44,4.1216,0.12,0.03,0.01,0.16,113,4,3,1,5.6,6.328,4.04992,0.15,0.03,0.01,0.19,115,4,2,1,4.9,5.635,4.2826,16.0132,16.67666,8.801884,41.491744,2.25,2.25,2.25,7.8,50.6172839506173,50.6172839506173,50.6172839506173,21.5686274509804,-168.292682926829,-168.292682926829,-168.292682926829,-241.463414634146,0,0,0,0.12,0.03,0.02,0.17,115,5,3,1,6.3,7.245,6.15825,0.12,0.03,0.01,0.16,115,4,3,1,5.6,6.44,4.1216,0.12,0.03,0.01,0.16,113,4,3,1,5.6,6.328,4.04992,0.15,0.03,0.01,0.19,115,4,2,1,4.9,5.635,4.2826,16.3415,17.192875,8.801884,42.336259,4.75,2.25,2.25,7.8,38.2716049382716,50.6172839506173,50.6172839506173,21.5686274509804,-254.838709677419,-168.292682926829,-168.292682926829,-241.463414634146,0,0,0,0.12,0.03,0.02,0.17,115,5,3,1,6.3,7.245,6.15825,0.12,0.03,0.01,0.16,110,4,3,1,5.6,6.16,3.9424,0.12,0.03,0.01,0.16,113,4,3,1,5.6,6.328,4.04992,0.15,0.03,0.01,0.19,115,5,2,1,5.6,6.44,6.118,16.8315,17.560375,9.961224,44.353099,4.75,2.25,2.25,7.8,38.2716049382716,50.6172839506173,50.6172839506173,21.5686274509804,-254.838709677419,-168.292682926829,-168.292682926829,-241.463414634146,0,0,0
1,B BF,0.12,0.09,0.02,0.23,115,5,3,1,6.3,7.245,8.33175,0.12,0.09,0.02,0.23,119,6,4,3,9.1,10.829,14.94402,0.11,0.09,0.02,0.22,118,5,3,1,6.3,7.434,8.1774,0.13,0.09,0.02,0.24,115,4,3,2,6.3,7.245,6.9552,20.2615,23.687825,21.137634,65.086959,59.25,59.25,56.4545454545455,61.6153846153846,-35.8024691358024,-35.8024691358024,-20.8791208791209,-54.9295774647887,-448.387096774193,-448.387096774193,-416.129032258065,-480.645161290323,61.6153846153846,0,0,0.12,0.09,0.02,0.23,115,3,3,1,4.9,5.635,3.88815,0.12,0.09,0.02,0.23,119,7,5,4,11.2,13.328,21.45808,0.11,0.08,0.02,0.21,115,4,2,2,5.6,6.44,5.4096,0.13,0.09,0.02,0.24,115,4,4,2,7,8.05,7.728,20.6045,22.194305,24.300976,67.099781,59.25,59.25,42.9090909090909,61.6153846153846,-35.8024691358024,-35.8024691358024,-9.8901098901099,-54.9295774647887,-448.387096774193,-448.387096774193,-383.870967741935,-480.645161290323,61.6153846153846,0,0,0.12,0.09,0.02,0.23,115,4,2,2,5.6,6.44,5.9248,0.12,0.09,0.02,0.23,115,4,2,2,5.6,6.44,5.9248,0.11,0.08,0.02,0.21,115,4,2,2,5.6,6.44,5.4096,0.13,0.09,0.02,0.24,115,4,4,2,7,8.05,7.728,17.248,18.79836,13.42768,49.47404,59.25,59.25,42.9090909090909,61.6153846153846,-35.8024691358024,-35.8024691358024,-9.8901098901099,-54.9295774647887,-448.387096774193,-448.387096774193,-383.870967741935,-480.645161290323,61.6153846153846,0,0,0.12,0.09,0.02,0.23,111,4,2,2,5.6,6.216,5.71872,0.12,0.09,0.02,0.23,115,4,2,2,5.6,6.44,5.9248,0.11,0.08,0.02,0.21,115,4,2,2,5.6,6.44,5.4096,0.13,0.09,0.02,0.24,115,4,4,2,7,8.05,7.728,17.0912,18.654104,13.42768,49.172984,59.25,59.25,42.9090909090909,61.6153846153846,-35.8024691358024,-35.8024691358024,-9.8901098901099,-54.9295774647887,-448.387096774193,-448.387096774193,-383.870967741935,-480.645161290323,61.6153846153846,0,0
2,C BF,0.15,0.03,0.03,0.21,110,5,3,1,6.3,6.93,7.2765,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,18.081,20.08755,14.5929,52.76145,11.8,7.25,10.5,10.5,-17.6470588235294,25.9259259259259,1.63934426229508,1.63934426229508,-566.666666666667,-423.809523809524,-519.047619047619,-519.047619047619,0,0,0,0.12,0.03,0.04,0.19,90,5,3,1,6.3,5.67,5.3865,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.14,0.04,0.03,0.21,115,5,3,1,6.3,7.245,7.60725,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,17.199,18.76455,14.846475,50.810025,9.75,7.25,16.8571428571429,10.5,13.5802469135803,25.9259259259259,-14.7540983606558,1.63934426229508,-900,-423.809523809524,-566.666666666667,-519.047619047619,0,0,0,0.12,0.03,0.04,0.19,90,5,3,1,6.3,5.67,5.3865,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.14,0.04,0.03,0.21,115,5,3,1,6.3,7.245,7.60725,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,17.199,18.76455,14.846475,50.810025,9.75,7.25,16.8571428571429,10.5,13.5802469135803,25.9259259259259,-14.7540983606558,1.63934426229508,-900,-423.809523809524,-566.666666666667,-519.047619047619,0,0,0,0.12,0.03,0.03,0.18,90,5,3,1,6.3,5.67,5.103,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.13,0.03,0.05,0.21,115,5,3,1,6.3,7.245,7.60725,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,17.199,18.5661,14.846475,50.611575,7.25,7.25,13.6153846153846,10.5,25.9259259259259,25.9259259259259,-12.6760563380282,1.63934426229508,-423.809523809524,-423.809523809524,-11900,-519.047619047619,0,0,0
3,D BF,0.12,0.04,0.03,0.19,110,5,3,1,6.3,6.93,6.5835,0.12,0.03,0.05,0.2,115,5,2,1,5.6,6.44,6.44,0.12,0.03,0.05,0.2,119,5,2,1,5.6,6.664,6.664,0.15,0.12,0.005,0.275,110,5,3,2,7,7.7,10.5875,17.591,19.17125,16.66805,53.4303,13,12.25,12.25,99.2,13.5802469135803,1.23456790123457,1.23456790123457,-145.098039215686,-471.428571428571,-10900,-10900,-400,99.2,0,0,0.12,0.03,0.03,0.18,94,4,3,1,5.6,5.264,3.79008,0.12,0.03,0.01,0.16,115,5,2,1,5.6,6.44,5.152,0.13,0.03,0.05,0.21,110,6,2,1,6.3,6.93,8.7318,0.12,0.03,0.01,0.16,111,5,3,2,7,7.77,6.216,16.9148,17.451056,14.15386,48.519716,7.25,2.25,13.6153846153846,2.25,25.9259259259259,50.6172839506173,-12.6760563380282,50.6172839506173,-423.809523809524,-168.292682926829,-11900,-168.292682926829,0,0,0,0.17,0.13,0.005,0.305,94,4,3,1,5.6,5.264,6.42208,0.21,0.14,0.008,0.358,110,5,4,1,7,7.7,13.783,0.21,0.17,0.01,0.39,110,6,2,1,6.3,6.93,16.2162,0.14,0.06,0.008,0.208,111,5,3,2,7,7.77,8.0808,17.8948,20.175456,26.803,64.873256,117.764705882353,138,193.476190476191,24.4285714285714,-335.483870967742,1744.44444444445,2100,-11.4754098360656,-465.217391304348,-620.930232558139,-729.268292682927,-272.093023255814,449.240896358544,3844.44444444445,0,0.14,0.03,0.01,0.18,98,5,3,1,6.3,6.174,5.5566,0.14,0.04,0.01,0.19,114,5,4,1,7,7.98,7.581,0.14,0.03,0.01,0.18,110,6,2,1,6.3,6.93,7.4844,0.13,0.06,0.008,0.198,111,5,3,2,7,7.77,7.6923,18.5318,19.76562,16.02839,54.32581,6.21428571428572,11.1428571428571,6.21428571428572,21.6923076923077,34.4262295081967,18.0327868852459,34.4262295081967,4.22535211267606,-217.073170731707,-241.463414634146,-217.073170731707,-248.837209302326,0,0,0
4,A Con,0.12,0.03,0.03,0.18,115,6,2,1,6.3,7.245,7.8246,0.12,0.03,0.03,0.18,115,4,2,1,4.9,5.635,4.0572,0.13,0.03,0.03,0.19,119,4,2,1,4.9,5.831,4.43156,0.13,0.03,0.03,0.19,119,4,2,1,4.9,5.831,4.43156,15.3615,17.58512,9.128224,42.074844,7.25,7.25,9,9,25.9259259259259,25.9259259259259,15.4929577464789,15.4929577464789,-423.809523809524,-423.809523809524,-471.428571428571,-471.428571428571,0,0,0,0.12,0.03,0.03,0.18,109,5,2,1,5.6,6.104,5.4936,0.12,0.03,0.03,0.18,115,4,2,1,4.9,5.635,4.0572,0.13,0.03,0.04,0.2,119,4,2,1,4.9,5.831,4.6648,0.13,0.03,0.03,0.19,119,4,2,1,4.9,5.831,4.43156,14.5628,15.95342,9.291492,39.807712,7.25,7.25,11.3076923076923,9,25.9259259259259,25.9259259259259,1.40845070422535,15.4929577464789,-423.809523809524,-423.809523809524,-990.909090909091,-471.428571428571,0,0,0,0.12,0.04,0.03,0.19,109,5,2,1,5.6,6.104,5.7988,0.12,0.03,0.03,0.18,115,4,2,1,4.9,5.635,4.0572,0.13,0.03,0.04,0.2,119,4,2,1,4.9,5.831,4.6648,0.13,0.03,0.03,0.19,119,4,2,1,4.9,5.831,4.43156,14.5628,16.16706,9.291492,40.021352,13,7.25,11.3076923076923,9,13.5802469135803,25.9259259259259,1.40845070422535,15.4929577464789,-471.428571428571,-423.809523809524,-990.909090909091,-471.428571428571,0,0,0,0.12,0.04,0.03,0.19,109,5,2,1,5.6,6.104,5.7988,0.12,0.03,0.03,0.18,113,5,2,1,5.6,6.328,5.6952,0.13,0.03,0.04,0.2,119,4,2,1,4.9,5.831,4.6648,0.13,0.04,0.03,0.2,119,4,2,1,4.9,5.831,4.6648,15.0528,16.65216,10.60136,42.30632,13,7.25,11.3076923076923,15.0769230769231,13.5802469135803,25.9259259259259,1.40845070422535,1.40845070422535,-471.428571428571,-423.809523809524,-990.909090909091,-519.047619047619,0,0,0
5,B Con,0.12,0.02,0.03,0.17,110,3,4,1,5.6,6.16,3.1416,0.12,0.04,0.03,0.19,115,5,3,2,7,8.05,7.6475,0.12,0.03,0.03,0.18,115,5,3,2,7,8.05,7.245,0.12,0.03,0.03,0.18,115,5,3,2,7,8.05,7.245,19.012,19.10412,15.58025,53.69637,3.16666666666667,13,7.25,7.25,38.2716049382716,13.5802469135803,25.9259259259259,25.9259259259259,-376.190476190476,-471.428571428571,-423.809523809524,-423.809523809524,0,0,0,0.12,0.02,0.03,0.17,110,3,3,1,4.9,5.39,2.7489,0.12,0.04,0.03,0.19,115,5,3,2,7,8.05,7.6475,0.13,0.03,0.03,0.19,114,5,3,2,7,7.98,7.581,0.12,0.03,0.03,0.18,120,5,3,2,7,8.4,7.56,18.473,19.02523,16.03595,53.53418,3.16666666666667,13,9,7.25,38.2716049382716,13.5802469135803,15.4929577464789,25.9259259259259,-376.190476190476,-471.428571428571,-471.428571428571,-423.809523809524,0,0,0,0.13,0.02,0.03,0.18,110,3,3,1,4.9,5.39,2.9106,0.12,0.04,0.03,0.19,113,5,3,2,7,7.91,7.5145,0.13,0.03,0.03,0.19,114,5,3,2,7,7.98,7.581,0.12,0.03,0.03,0.18,120,5,3,2,7,8.4,7.56,18.473,19.04042,15.94285,53.45627,4.46153846153846,13,9,7.25,29.5774647887324,13.5802469135803,15.4929577464789,25.9259259259259,-423.809523809524,-471.428571428571,-471.428571428571,-423.809523809524,0,0,0,0.13,0.02,0.03,0.18,110,4,3,1,5.6,6.16,4.4352,0.12,0.04,0.03,0.19,112,5,3,2,7,7.84,7.448,0.13,0.03,0.03,0.19,114,5,3,2,7,7.98,7.581,0.12,0.03,0.03,0.18,120,5,3,2,7,8.4,7.56,19.012,20.05864,15.8963,54.96694,4.46153846153846,13,9,7.25,29.5774647887324,13.5802469135803,15.4929577464789,25.9259259259259,-423.809523809524,-471.428571428571,-471.428571428571,-423.809523809524,0,0,0
6,C Con,0.12,0.03,0.01,0.16,110,5,3,1,6.3,6.93,5.544,0.12,0.03,0.01,0.16,110,5,3,1,6.3,6.93,5.544,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,18.081,19.3158,13.4904,50.8872,2.25,2.25,6.21428571428572,6.21428571428572,50.6172839506173,50.6172839506173,34.4262295081967,34.4262295081967,-168.292682926829,-168.292682926829,-217.073170731707,-217.073170731707,0,0,0,0.13,0.03,0.01,0.17,110,4,3,1,5.6,6.16,4.1888,0.12,0.03,0.01,0.16,115,5,3,1,6.3,7.245,5.796,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,17.542,18.58766,13.6668,49.79646,4.38461538461539,2.25,6.21428571428572,6.21428571428572,43.6619718309859,50.6172839506173,34.4262295081967,34.4262295081967,-192.682926829268,-168.292682926829,-217.073170731707,-217.073170731707,0,0,0,0.13,0.03,0.01,0.17,110,4,3,1,5.6,6.16,4.1888,0.12,0.03,0.01,0.16,115,5,3,1,6.3,7.245,5.796,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,17.542,18.58766,13.6668,49.79646,4.38461538461539,2.25,6.21428571428572,6.21428571428572,43.6619718309859,50.6172839506173,34.4262295081967,34.4262295081967,-192.682926829268,-168.292682926829,-217.073170731707,-217.073170731707,0,0,0,0.13,0.03,0.01,0.17,110,4,3,1,5.6,6.16,4.1888,0.12,0.03,0.01,0.16,115,4,3,1,5.6,6.44,4.1216,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.01,0.18,121,5,4,2,7.7,9.317,8.3853,18.032,19.25406,13.60163,50.88769,4.38461538461539,2.25,6.21428571428572,6.21428571428572,43.6619718309859,50.6172839506173,34.4262295081967,34.4262295081967,-192.682926829268,-168.292682926829,-217.073170731707,-217.073170731707,0,0,0
7,D Con,0.12,0.04,0.02,0.18,115,4,3,1,5.6,6.44,4.6368,0.15,0.05,0.01,0.21,110,4,3,1,5.6,6.16,5.1744,0.12,0.03,0.05,0.2,115,4,3,1,5.6,6.44,5.152,0.15,0.1,0.01,0.26,117,4,2,1,4.9,5.733,5.96232,15.778,16.07886,11.507104,43.363964,9.66666666666667,19.6666666666667,12.25,72.6666666666667,25.9259259259259,-17.6470588235294,1.23456790123457,-115.686274509804,-287.096774193548,-290.243902439024,-10900,-412.19512195122,72.6666666666667,0,0,0.12,0.03,0.03,0.18,119,4,3,1,5.6,6.664,4.79808,0.12,0.03,0.01,0.16,115,4,3,1,5.6,6.44,4.1216,0.13,0.03,0.05,0.21,115,4,3,1,5.6,6.44,5.4096,0.15,0.07,0.01,0.23,117,4,2,1,4.9,5.733,5.27436,15.9348,16.387756,10.447892,42.770448,7.25,2.25,13.6153846153846,36.8666666666667,25.9259259259259,50.6172839506173,-12.6760563380282,-56.8627450980391,-423.809523809524,-168.292682926829,-11900,-339.024390243902,0,0,0,0.16,0.08,0.005,0.245,119,4,3,1,5.6,6.664,6.53072,0.16,0.09,0.03,0.28,115,5,3,1,6.3,7.245,10.143,0.14,0.008,0.03,0.178,115,4,3,1,5.6,6.44,4.58528,0.14,0.06,0.01,0.21,121,4,2,1,4.9,5.929,4.98036,16.4248,18.301304,13.908048,48.634152,47,72.5625,1.54285714285714,25.2857142857143,-107.317073170732,-192.682926829268,37.7049180327869,-14.7540983606558,-334.782608695652,-900,-414.285714285714,-290.243902439024,72.5625,0,0,0.16,0.09,0.009,0.259,119,4,3,1,5.6,6.664,6.903904,0.15,0.09,0.03,0.27,116,5,3,1,6.3,7.308,9.8658,0.14,0.06,0.03,0.23,115,4,3,1,5.6,6.44,5.9248,0.13,0.05,0.02,0.2,121,4,2,1,4.9,5.929,4.7432,16.4248,18.6066328,14.47866,49.5100928,60.75,71.4,33.8571428571429,18.8461538461539,-141.463414634146,-135.294117647059,-47.5409836065574,1.40845070422535,-400,-852.380952380952,-661.904761904762,-351.612903225806,132.15,0,0
8,A ClgW,0.19,0.01,0.002,0.202,95,5,3,3,7.7,7.315,7.38815,0.14,0.02,0.002,0.162,95,5,2,1,5.6,5.32,4.3092,0.12,0.03,0.05,0.2,95,5,2,1,5.6,5.32,5.32,0.13,0.03,0.03,0.19,95,5,2,1,5.6,5.32,5.054,16.8805,16.343705,10.37624,43.600445,2.68421052631579,1.57142857142857,12.25,9,-9.09090909090909,63.9344262295082,1.23456790123457,15.4929577464789,-226.530612244898,-144.897959183673,-10900,-471.428571428571,0,63.9344262295082,0,0.12,0.03,0.03,0.18,97,5,3,1,6.3,6.111,5.4999,0.12,0.03,0.01,0.16,95,5,2,1,5.6,5.32,4.256,0.14,0.02,0.002,0.162,95,5,2,1,5.6,5.32,4.3092,0.12,0.03,0.01,0.16,100,5,2,1,5.6,5.6,4.48,16.0377,15.21793,9.21564,40.47127,7.25,2.25,1.57142857142857,2.25,25.9259259259259,50.6172839506173,63.9344262295082,50.6172839506173,-423.809523809524,-168.292682926829,-144.897959183673,-168.292682926829,0,63.9344262295082,0,0.18,0.02,0.002,0.202,97,5,3,1,6.3,6.111,6.17211,0.19,0.01,0.002,0.202,100,5,2,1,5.6,5.6,5.656,0.17,0.02,0.002,0.192,95,5,2,1,5.6,5.32,5.1072,0.17,0.02,0.002,0.192,100,5,2,1,5.6,5.6,5.376,16.0377,15.884477,11.43044,43.352617,5.66666666666667,2.68421052631579,4.82352941176471,4.82352941176471,-4.76190476190463,-9.09090909090909,29.0322580645162,29.0322580645162,-226.530612244898,-226.530612244898,-206.122448979592,-206.122448979592,0,0,0,0.16,0.02,0.005,0.185,97,5,3,1,6.3,6.111,5.652675,0.19,0.01,0.002,0.202,100,5,2,1,5.6,5.6,5.656,0.17,0.02,0.002,0.192,95,5,2,1,5.6,5.32,5.1072,0.15,0.03,0.002,0.182,101,5,4,2,7.7,7.777,7.07707,17.5077,17.0447725,12.621189,47.1736615,4.25,2.68421052631579,4.82352941176471,6.2,39.0243902439025,-9.09090909090909,29.0322580645162,37.2549019607843,-204.347826086956,-226.530612244898,-206.122448979592,-185.714285714286,0,0,0
9,B ClgW,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.12,0.03,0.04,0.19,110,4,3,1,5.6,6.16,4.6816,0.12,0.03,0.05,0.2,110,4,3,1,5.6,6.16,4.928,0.12,0.03,0.05,0.2,110,4,3,1,5.6,6.16,4.928,16.611,17.3019,10.26032,44.17322,7.25,9.75,12.25,12.25,25.9259259259259,9.90990990990992,1.23456790123457,1.23456790123457,-423.809523809524,-900,-10900,-10900,0,0,0,0.13,0.03,0.03,0.19,98,5,3,1,6.3,6.174,5.8653,0.12,0.03,0.04,0.19,110,4,3,1,5.6,6.16,4.6816,0.13,0.03,0.05,0.21,110,4,3,1,5.6,6.16,5.1744,0.12,0.03,0.05,0.2,110,4,3,1,5.6,6.16,4.928,16.0818,17.04171,10.4328,43.55631,9,9.75,13.6153846153846,12.25,15.4929577464789,9.90990990990992,-12.6760563380282,1.23456790123457,-471.428571428571,-900,-11900,-10900,0,0,0,0.13,0.03,0.03,0.19,98,5,3,1,6.3,6.174,5.8653,0.12,0.03,0.04,0.19,110,4,3,1,5.6,6.16,4.6816,0.13,0.03,0.05,0.21,110,4,3,1,5.6,6.16,5.1744,0.12,0.03,0.05,0.2,110,4,3,1,5.6,6.16,4.928,16.0818,17.04171,10.4328,43.55631,9,9.75,13.6153846153846,12.25,15.4929577464789,9.90990990990992,-12.6760563380282,1.23456790123457,-471.428571428571,-900,-11900,-10900,0,0,0,0.12,0.03,0.03,0.18,98,5,3,1,6.3,6.174,5.5566,0.12,0.03,0.04,0.19,110,4,3,1,5.6,6.16,4.6816,0.13,0.03,0.05,0.21,110,4,3,1,5.6,6.16,5.1744,0.12,0.03,0.05,0.2,110,4,3,1,5.6,6.16,4.928,16.0818,16.82562,10.4328,43.34022,7.25,9.75,13.6153846153846,12.25,25.9259259259259,9.90990990990992,-12.6760563380282,1.23456790123457,-423.809523809524,-900,-11900,-10900,0,0,0
