,Device,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp
10,C ClgW,0.13,0.03,0.03,0.19,110,5,3,1,6.3,6.93,6.5835,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,18.081,19.60245,14.5929,52.27635,9,7.25,10.5,10.5,15.4929577464789,25.9259259259259,1.63934426229508,1.63934426229508,-471.428571428571,-423.809523809524,-519.047619047619,-519.047619047619,0,0,0,0.12,0.03,0.04,0.19,90,5,3,1,6.3,5.67,5.3865,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.14,0.04,0.03,0.21,115,5,3,1,6.3,7.245,7.60725,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,17.199,18.76455,14.846475,50.810025,9.75,7.25,16.8571428571429,10.5,13.5802469135803,25.9259259259259,-14.7540983606558,1.63934426229508,-900,-423.809523809524,-566.666666666667,-519.047619047619,0,0,0,0.12,0.03,0.04,0.19,90,5,3,1,6.3,5.67,5.3865,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.14,0.04,0.03,0.21,115,5,3,1,6.3,7.245,7.60725,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,17.199,18.76455,14.846475,50.810025,9.75,7.25,16.8571428571429,10.5,13.5802469135803,25.9259259259259,-14.7540983606558,1.63934426229508,-900,-423.809523809524,-566.666666666667,-519.047619047619,0,0,0,0.12,0.03,0.03,0.18,90,5,3,1,6.3,5.67,5.103,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.13,0.03,0.05,0.21,115,5,3,1,6.3,7.245,7.60725,0.14,0.03,0.03,0.2,115,5,4,2,7.7,8.855,8.855,18.179,19.6931,15.973475,53.845575,7.25,7.25,13.6153846153846,10.5,25.9259259259259,25.9259259259259,-12.6760563380282,1.63934426229508,-423.809523809524,-423.809523809524,-11900,-519.047619047619,0,0,0
11,D ClgW,0.12,0.03,0.03,0.18,115,5,3,1,6.3,7.245,6.5205,0.12,0.03,0.05,0.2,115,5,2,1,5.6,6.44,6.44,0.12,0.03,0.05,0.2,119,5,2,1,5.6,6.664,6.664,0.15,0.12,0.005,0.275,110,5,3,2,7,7.7,10.5875,17.8115,19.12715,16.66805,53.6067,7.25,12.25,12.25,99.2,25.9259259259259,1.23456790123457,1.23456790123457,-145.098039215686,-423.809523809524,-10900,-10900,-400,99.2,0,0,0.12,0.03,0.03,0.18,94,4,3,1,5.6,5.264,3.79008,0.12,0.03,0.01,0.16,115,5,2,1,5.6,6.44,5.152,0.13,0.03,0.05,0.21,110,6,2,1,6.3,6.93,8.7318,0.12,0.03,0.01,0.16,111,5,3,2,7,7.77,6.216,16.9148,17.451056,14.15386,48.519716,7.25,2.25,13.6153846153846,2.25,25.9259259259259,50.6172839506173,-12.6760563380282,50.6172839506173,-423.809523809524,-168.292682926829,-11900,-168.292682926829,0,0,0,0.17,0.13,0.005,0.305,94,4,3,1,5.6,5.264,6.42208,0.21,0.14,0.008,0.358,110,5,4,1,7,7.7,13.783,0.21,0.17,0.01,0.39,110,6,2,1,6.3,6.93,16.2162,0.14,0.06,0.008,0.208,111,5,3,2,7,7.77,8.0808,17.8948,20.175456,26.803,64.873256,117.764705882353,138,193.476190476191,24.4285714285714,-335.483870967742,1744.44444444445,2100,-11.4754098360656,-465.217391304348,-620.930232558139,-729.268292682927,-272.093023255814,449.240896358544,3844.44444444445,0,0.14,0.03,0.01,0.18,98,5,3,1,6.3,6.174,5.5566,0.14,0.04,0.01,0.19,114,5,4,1,7,7.98,7.581,0.14,0.03,0.01,0.18,110,6,2,1,6.3,6.93,7.4844,0.13,0.06,0.008,0.198,111,5,4,2,7.7,8.547,8.46153,19.0218,20.30952,16.566851,55.898171,6.21428571428572,11.1428571428571,6.21428571428572,21.6923076923077,34.4262295081967,18.0327868852459,34.4262295081967,4.22535211267606,-217.073170731707,-241.463414634146,-217.073170731707,-248.837209302326,0,0,0
12,A Bstr0,0.12,0.03,0.03,0.18,125,7,3,1,7.7,9.625,12.1275,0.12,0.03,0.03,0.18,115,4,3,1,5.6,6.44,4.6368,0.13,0.04,0.03,0.2,125,4,3,1,5.6,7,5.6,0.13,0.04,0.03,0.2,125,4,3,1,5.6,7,5.6,18.4975,22.79725,11.16976,52.46451,7.25,7.25,15.0769230769231,15.0769230769231,25.9259259259259,25.9259259259259,1.40845070422535,1.40845070422535,-423.809523809524,-423.809523809524,-519.047619047619,-519.047619047619,0,0,0,0.12,0.03,0.03,0.18,125,7,3,2,8.4,10.5,13.23,0.12,0.03,0.03,0.18,99,4,3,1,5.6,5.544,3.99168,0.14,0.03,0.01,0.18,125,4,3,1,5.6,7,5.04,0.13,0.04,0.03,0.2,122,4,3,1,5.6,6.832,5.4656,19.11,22.8242,10.232096,52.166296,7.25,7.25,6.21428571428572,15.0769230769231,25.9259259259259,25.9259259259259,34.4262295081967,1.40845070422535,-423.809523809524,-423.809523809524,-217.073170731707,-519.047619047619,0,0,0,0.12,0.03,0.03,0.18,126,7,4,2,9.1,11.466,14.44716,0.12,0.03,0.03,0.18,125,4,3,2,6.3,7.875,5.67,0.13,0.04,0.03,0.2,125,4,3,1,5.6,7,5.6,0.13,0.04,0.03,0.2,122,4,3,1,5.6,6.832,5.4656,20.2762,25.307912,11.79892,57.383032,7.25,7.25,15.0769230769231,15.0769230769231,25.9259259259259,25.9259259259259,1.40845070422535,1.40845070422535,-423.809523809524,-423.809523809524,-519.047619047619,-519.047619047619,0,0,0,0.12,0.03,0.03,0.18,126,7,5,3,10.5,13.23,16.6698,0.12,0.03,0.03,0.18,125,4,3,2,6.3,7.875,5.67,0.13,0.04,0.03,0.2,125,4,3,1,5.6,7,5.6,0.13,0.04,0.03,0.2,122,4,3,1,5.6,6.832,5.4656,21.511,26.86376,11.79892,60.17368,7.25,7.25,15.0769230769231,15.0769230769231,25.9259259259259,25.9259259259259,1.40845070422535,1.40845070422535,-423.809523809524,-423.809523809524,-519.047619047619,-519.047619047619,0,0,0
13,B Bstr0,0.15,0.03,0.01,0.19,125,5,3,1,6.3,7.875,7.48125,0.15,0.03,0.01,0.19,125,5,3,1,6.3,7.875,7.48125,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,18.7425,21.333375,14.867475,54.94335,7.8,7.8,6.21428571428572,6.21428571428572,21.5686274509804,21.5686274509804,34.4262295081967,34.4262295081967,-241.463414634146,-241.463414634146,-217.073170731707,-217.073170731707,0,0,0,0.15,0.03,0.01,0.19,90,5,3,1,6.3,5.67,5.3865,0.15,0.03,0.01,0.19,98,5,3,1,6.3,6.174,5.8653,0.14,0.03,0.01,0.18,121,5,3,1,6.3,7.623,6.8607,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,17.199,18.72045,13.776,49.69545,7.8,7.8,6.21428571428572,6.21428571428572,21.5686274509804,21.5686274509804,34.4262295081967,34.4262295081967,-241.463414634146,-241.463414634146,-217.073170731707,-217.073170731707,0,0,0,0.15,0.03,0.01,0.19,120,4,2,1,4.9,5.88,4.4688,0.15,0.03,0.01,0.19,125,5,3,1,6.3,7.875,7.48125,0.14,0.03,0.01,0.18,121,5,3,2,7,8.47,7.623,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,17.836,19.86166,15.440775,53.138435,7.8,7.8,6.21428571428572,6.21428571428572,21.5686274509804,21.5686274509804,34.4262295081967,34.4262295081967,-241.463414634146,-241.463414634146,-217.073170731707,-217.073170731707,0,0,0,0.15,0.03,0.01,0.19,120,4,2,1,4.9,5.88,4.4688,0.15,0.03,0.01,0.19,125,5,3,1,6.3,7.875,7.48125,0.14,0.03,0.01,0.18,121,5,3,2,7,8.47,7.623,0.14,0.03,0.01,0.18,118,5,4,2,7.7,9.086,8.1774,18.816,20.92986,16.402155,56.148015,7.8,7.8,6.21428571428572,6.21428571428572,21.5686274509804,21.5686274509804,34.4262295081967,34.4262295081967,-241.463414634146,-241.463414634146,-217.073170731707,-217.073170731707,0,0,0
14,C Bstr0,0.12,0.03,0.01,0.16,95,4,4,2,7,6.65,4.256,0.15,0.03,0.01,0.19,130,5,4,2,7.7,10.01,9.5095,0.15,0.03,0.01,0.19,115,4,3,2,6.3,7.245,5.5062,0.13,0.04,0.02,0.19,117,4,3,2,6.3,7.371,5.60196,18.865,20.2174,14.537362,53.619762,2.25,7.8,7.8,12,50.6172839506173,21.5686274509804,21.5686274509804,15.4929577464789,-168.292682926829,-241.463414634146,-241.463414634146,-319.354838709677,0,0,0,0.12,0.04,0.01,0.17,94,4,2,2,5.6,5.264,3.57952,0.15,0.04,0.01,0.2,99,6,5,2,9.1,9.009,10.8108,0.15,0.03,0.01,0.19,115,5,3,2,7,8.05,7.6475,0.13,0.04,0.02,0.19,117,4,3,2,6.3,7.371,5.60196,19.3648,19.606664,16.947182,55.918646,6.33333333333333,13.0666666666667,7.8,12,38.2716049382716,1.96078431372549,21.5686274509804,15.4929577464789,-192.682926829268,-265.853658536585,-241.463414634146,-319.354838709677,0,0,0,0.11,0.04,0.01,0.16,100,5,2,2,6.3,6.3,5.04,0.15,0.05,0.03,0.23,131,6,5,2,9.1,11.921,16.45098,0.15,0.03,0.01,0.19,115,4,3,1,5.6,6.44,4.8944,0.13,0.04,0.02,0.19,117,4,3,2,6.3,7.371,5.60196,19.11,21.5404,18.968138,59.618538,3.27272727272728,26.3333333333333,7.8,12,45.0549450549451,-56.8627450980391,21.5686274509804,15.4929577464789,-168.292682926829,-661.904761904762,-241.463414634146,-319.354838709677,0,0,0,0.1,0.04,0.02,0.16,101,5,2,2,6.3,6.363,5.0904,0.13,0.05,0.04,0.22,129,6,5,2,9.1,11.739,15.49548,0.15,0.03,0.01,0.19,115,4,3,1,5.6,6.44,4.8944,0.13,0.04,0.02,0.19,117,5,4,2,7.7,9.009,8.55855,20.1341,22.59488,20.354901,63.083881,3.6,26.5384615384615,7.8,12,40.5940594059406,-26.7605633802817,21.5686274509804,15.4929577464789,-222.58064516129,-1172.72727272727,-241.463414634146,-319.354838709677,0,0,0
15,D Bstr0,0.14,0.03,0.03,0.2,110,5,3,1,6.3,6.93,6.93,0.16,0.03,0.03,0.22,110,5,2,1,5.6,6.16,6.776,0.12,0.03,0.05,0.2,110,5,2,1,5.6,6.16,6.16,0.16,0.03,0.03,0.22,110,5,2,1,5.6,6.16,6.776,16.611,17.787,13.9104,48.3084,10.5,12.9375,12.25,12.9375,1.63934426229508,-46.3414634146341,1.23456790123457,-46.3414634146341,-519.047619047619,-614.285714285714,-10900,-614.285714285714,0,0,0,0.15,0.03,0.03,0.21,109,5,3,1,6.3,6.867,7.21035,0.16,0.03,0.03,0.22,92,5,2,1,5.6,5.152,5.6672,0.14,0.03,0.01,0.18,111,5,2,1,5.6,6.216,5.5944,0.16,0.03,0.03,0.22,110,5,2,1,5.6,6.16,6.776,16.5669,17.316845,12.73832,46.622065,11.8,12.9375,6.21428571428572,12.9375,-17.6470588235294,-46.3414634146341,34.4262295081967,-46.3414634146341,-566.666666666667,-614.285714285714,-217.073170731707,-614.285714285714,0,0,0,0.15,0.03,0.03,0.21,110,5,3,1,6.3,6.93,7.2765,0.16,0.03,0.03,0.22,110,5,2,1,5.6,6.16,6.776,0.16,0.03,0.03,0.22,118,6,4,3,9.1,10.738,14.17416,0.16,0.03,0.03,0.22,111,5,2,1,5.6,6.216,6.8376,19.061,21.27335,19.563432,59.897782,11.8,12.9375,12.9375,12.9375,-17.6470588235294,-46.3414634146341,-46.3414634146341,-46.3414634146341,-566.666666666667,-614.285714285714,-614.285714285714,-614.285714285714,0,0,0,0.15,0.03,0.03,0.21,110,5,3,1,6.3,6.93,7.2765,0.16,0.03,0.03,0.22,110,5,2,1,5.6,6.16,6.776,0.16,0.03,0.03,0.22,120,7,4,3,9.8,11.76,18.1104,0.16,0.03,0.03,0.22,109,5,2,1,5.6,6.104,6.7144,19.551,21.91035,22.23256,63.69391,11.8,12.9375,12.9375,12.9375,-17.6470588235294,-46.3414634146341,-46.3414634146341,-46.3414634146341,-566.666666666667,-614.285714285714,-614.285714285714,-614.285714285714,0,0,0
16,A TurbO,0.11,0.03,0.02,0.16,115,5,3,1,6.3,7.245,5.796,0.12,0.03,0.01,0.16,110,4,3,2,6.3,6.93,4.4352,0.13,0.05,0.01,0.19,110,4,2,1,4.9,5.39,4.0964,0.12,0.05,0.01,0.18,110,4,3,2,6.3,6.93,4.9896,17.3215,17.5322,9.54884,44.40254,2.45454545454546,2.25,15,12.0833333333333,45.0549450549451,50.6172839506173,15.4929577464789,25.9259259259259,-222.58064516129,-168.292682926829,-241.463414634146,-217.073170731707,0,0,0,0.12,0.03,0.01,0.16,110,5,3,1,6.3,6.93,5.544,0.12,0.03,0.01,0.16,110,4,3,2,6.3,6.93,4.4352,0.13,0.05,0.01,0.19,110,4,2,2,5.6,6.16,4.6816,0.12,0.05,0.01,0.18,110,4,3,2,6.3,6.93,4.9896,17.591,17.8948,9.95848,45.44428,2.25,2.25,15,12.0833333333333,50.6172839506173,50.6172839506173,15.4929577464789,25.9259259259259,-168.292682926829,-168.292682926829,-241.463414634146,-217.073170731707,0,0,0,0.12,0.03,0.01,0.16,110,5,3,1,6.3,6.93,5.544,0.12,0.03,0.01,0.16,99,4,3,2,6.3,6.237,3.99168,0.13,0.05,0.01,0.19,110,4,2,2,5.6,6.16,4.6816,0.12,0.05,0.01,0.18,110,4,3,2,6.3,6.93,4.9896,17.591,17.4097,9.648016,44.648716,2.25,2.25,15,12.0833333333333,50.6172839506173,50.6172839506173,15.4929577464789,25.9259259259259,-168.292682926829,-168.292682926829,-241.463414634146,-217.073170731707,0,0,0,0.12,0.03,0.01,0.16,111,5,3,1,6.3,6.993,5.5944,0.12,0.03,0.01,0.16,99,4,3,2,6.3,6.237,3.99168,0.13,0.05,0.01,0.19,110,4,2,2,5.6,6.16,4.6816,0.12,0.05,0.01,0.18,110,5,4,2,7.7,8.47,7.623,18.6151,18.52298,11.491396,48.629476,2.25,2.25,15,12.0833333333333,50.6172839506173,50.6172839506173,15.4929577464789,25.9259259259259,-168.292682926829,-168.292682926829,-241.463414634146,-217.073170731707,0,0,0
17,B TurbO,0.12,0.08,0.03,0.23,110,5,2,3,7,7.7,8.855,0.14,0.09,0.03,0.26,110,4,2,1,4.9,5.39,5.6056,0.15,0.09,0.04,0.28,115,5,4,2,7.7,8.855,12.397,0.12,0.09,0.03,0.24,102,4,2,1,4.9,4.998,4.79808,17.64,19.6686,16.058476,53.367076,52.6666666666667,70.0714285714286,77.4,66.75,-35.8024691358024,-96.7213114754098,-154.901960784314,-48.1481481481481,-661.904761904762,-804.761904761905,-1718.18181818182,-709.523809523809,214.221428571429,0,0,0.12,0.07,0.03,0.22,111,5,3,1,6.3,6.993,7.6923,0.13,0.09,0.03,0.25,110,3,2,1,4.2,4.62,3.465,0.12,0.09,0.03,0.24,95,4,2,1,4.9,4.655,4.4688,0.12,0.03,0.01,0.16,99,3,2,1,4.2,4.158,1.99584,14.2051,14.78771,7.041748,36.034558,40.25,68.5384615384615,66.75,2.25,-23.4567901234568,-69.0140845070422,-48.1481481481481,50.6172839506173,-614.285714285714,-757.142857142857,-709.523809523809,-168.292682926829,135.288461538462,0,0,0.12,0.05,0.03,0.2,110,3,2,1,4.2,4.62,2.772,0.14,0.05,0.02,0.21,110,3,2,1,4.2,4.62,2.9106,0.14,0.06,0.03,0.23,100,4,2,1,4.9,4.9,4.508,0.12,0.06,0.03,0.21,99,4,2,1,4.9,4.851,4.07484,13.034,12.0001,8.143408,33.177508,20.4166666666667,21.0714285714286,33.8571428571429,29.5,1.23456790123457,-14.7540983606558,-47.5409836065574,-11.1111111111111,-519.047619047619,-383.870967741935,-661.904761904762,-566.666666666667,0,0,0,0.12,0.07,0.03,0.22,105,4,3,1,5.6,5.88,5.1744,0.12,0.05,0.02,0.19,110,3,2,1,4.2,4.62,2.6334,0.13,0.06,0.02,0.21,100,4,3,1,5.6,5.6,4.704,0.12,0.05,0.02,0.19,101,4,3,1,5.6,5.656,4.29856,14.896,14.73528,8.229172,37.860452,40.25,16.25,27.2307692307692,16.25,-23.4567901234568,13.5802469135803,-12.6760563380282,13.5802469135803,-614.285714285714,-319.354838709677,-383.870967741935,-319.354838709677,0,0,0
18,C TurbO,0.12,0.03,0.01,0.16,115,5,3,1,6.3,7.245,5.796,0.12,0.03,0.01,0.16,115,5,2,1,5.6,6.44,5.152,0.12,0.04,0.01,0.17,115,5,3,1,6.3,7.245,6.15825,0.09,0.04,0.01,0.14,115,5,2,1,5.6,6.44,4.508,17.3215,18.1447,11.156775,46.622975,2.25,2.25,6.33333333333333,-4.88888888888888,50.6172839506173,50.6172839506173,38.2716049382716,54.954954954955,-168.292682926829,-168.292682926829,-192.682926829268,-119.512195121951,0,0,0,0.12,0.03,0.01,0.16,119,5,3,1,6.3,7.497,5.9976,0.12,0.03,0.01,0.16,115,5,2,1,5.6,6.44,5.152,0.12,0.04,0.01,0.17,117,5,4,1,7,8.19,6.9615,0.09,0.04,0.01,0.14,115,5,2,1,5.6,6.44,4.508,17.9879,18.94732,11.71905,48.65427,2.25,2.25,6.33333333333333,-4.88888888888888,50.6172839506173,50.6172839506173,38.2716049382716,54.954954954955,-168.292682926829,-168.292682926829,-192.682926829268,-119.512195121951,0,0,0,0.12,0.03,0.01,0.16,115,5,3,1,6.3,7.245,5.796,0.12,0.03,0.01,0.16,115,5,2,1,5.6,6.44,5.152,0.12,0.04,0.01,0.17,115,5,3,1,6.3,7.245,6.15825,0.09,0.04,0.01,0.14,115,5,2,1,5.6,6.44,4.508,17.3215,18.1447,11.156775,46.622975,2.25,2.25,6.33333333333333,-4.88888888888888,50.6172839506173,50.6172839506173,38.2716049382716,54.954954954955,-168.292682926829,-168.292682926829,-192.682926829268,-119.512195121951,0,0,0,0.12,0.03,0.01,0.16,111,5,3,1,6.3,6.993,5.5944,0.12,0.03,0.01,0.16,115,5,2,1,5.6,6.44,5.152,0.12,0.04,0.01,0.17,115,5,3,1,6.3,7.245,6.15825,0.08,0.04,0.01,0.13,115,5,2,1,5.6,6.44,4.186,17.1451,18.00358,10.931375,46.080055,2.25,2.25,6.33333333333333,-10.5,50.6172839506173,50.6172839506173,38.2716049382716,58.6776859504132,-168.292682926829,-168.292682926829,-192.682926829268,-95.1219512195122,0,0,0
19,D TurbO,0.12,0.03,0.01,0.16,115,5,3,1,6.3,7.245,5.796,0.12,0.03,0.01,0.16,115,5,3,1,6.3,7.245,5.796,0.12,0.07,0.01,0.2,115,4,3,1,5.6,6.44,5.152,0.12,0.07,0.01,0.2,110,5,3,1,6.3,6.93,6.93,17.8115,18.4877,12.5986,48.8978,2.25,2.25,28.5833333333333,28.5833333333333,50.6172839506173,50.6172839506173,1.23456790123457,1.23456790123457,-168.292682926829,-168.292682926829,-265.853658536585,-265.853658536585,0,0,0,0.12,0.03,0.01,0.16,120,4,3,1,5.6,6.72,4.3008,0.12,0.03,0.01,0.16,115,5,3,1,6.3,7.245,5.796,0.12,0.07,0.01,0.2,115,5,3,1,6.3,7.245,7.245,0.12,0.07,0.01,0.2,115,5,3,1,6.3,7.245,7.245,17.934,18.22506,14.2842,50.44326,2.25,2.25,28.5833333333333,28.5833333333333,50.6172839506173,50.6172839506173,1.23456790123457,1.23456790123457,-168.292682926829,-168.292682926829,-265.853658536585,-265.853658536585,0,0,0,0.13,0.04,0.01,0.18,115,4,4,1,6.3,7.245,5.2164,0.11,0.03,0.01,0.15,115,5,3,1,6.3,7.245,5.43375,0.12,0.07,0.01,0.2,115,5,3,1,6.3,7.245,7.245,0.12,0.07,0.01,0.2,111,5,3,1,6.3,6.993,6.993,18.3015,18.68958,13.847225,50.838305,8.92307692307692,-0.272727272727273,28.5833333333333,28.5833333333333,29.5774647887324,56.0439560439561,1.23456790123457,1.23456790123457,-217.073170731707,-143.90243902439,-265.853658536585,-265.853658536585,0,0,0,0.13,0.04,0.01,0.18,115,4,4,1,6.3,7.245,5.2164,0.11,0.03,0.01,0.15,115,5,3,1,6.3,7.245,5.43375,0.12,0.07,0.01,0.2,115,5,3,1,6.3,7.245,7.245,0.12,0.07,0.01,0.2,100,5,3,1,6.3,6.3,6.3,18.3015,18.20448,13.362125,49.868105,8.92307692307692,-0.272727272727273,28.5833333333333,28.5833333333333,29.5774647887324,56.0439560439561,1.23456790123457,1.23456790123457,-217.073170731707,-143.90243902439,-265.853658536585,-265.853658536585,0,0,0
20,A CW,0.12,0.03,0.01,0.16,115,5,3,1,6.3,7.245,5.796,0.12,0.03,0.01,0.16,115,4,3,1,5.6,6.44,4.1216,0.12,0.03,0.01,0.16,115,4,2,1,4.9,5.635,3.6064,0.15,0.03,0.01,0.19,119,4,2,1,4.9,5.831,4.43156,15.8515,16.5914,8.595692,41.038592,2.25,2.25,2.25,7.8,50.6172839506173,50.6172839506173,50.6172839506173,21.5686274509804,-168.292682926829,-168.292682926829,-168.292682926829,-241.463414634146,0,0,0,0.12,0.03,0.01,0.16,121,5,2,1,5.6,6.776,5.4208,0.12,0.03,0.01,0.16,115,4,3,1,5.6,6.44,4.1216,0.12,0.03,0.01,0.16,116,5,3,2,7,8.12,6.496,0.15,0.03,0.01,0.19,115,4,2,1,4.9,5.635,4.2826,16.9932,17.93106,10.51414,45.4384,2.25,2.25,2.25,7.8,50.6172839506173,50.6172839506173,50.6172839506173,21.5686274509804,-168.292682926829,-168.292682926829,-168.292682926829,-241.463414634146,0,0,0,0.12,0.03,0.02,0.17,115,5,3,1,6.3,7.245,6.15825,0.12,0.03,0.01,0.16,115,4,3,1,5.6,6.44,4.1216,0.12,0.03,0.01,0.16,118,5,4,3,8.4,9.912,7.9296,0.15,0.03,0.01,0.19,115,4,2,1,4.9,5.635,4.2826,18.3015,19.701675,11.51766,49.520835,4.75,2.25,2.25,7.8,38.2716049382716,50.6172839506173,50.6172839506173,21.5686274509804,-254.838709677419,-168.292682926829,-168.292682926829,-241.463414634146,0,0,0,0.12,0.03,0.02,0.17,115,5,3,1,6.3,7.245,6.15825,0.12,0.03,0.01,0.16,110,4,3,1,5.6,6.16,3.9424,0.12,0.03,0.01,0.16,119,6,5,3,9.8,11.662,11.19552,0.15,0.03,0.01,0.19,115,5,2,1,5.6,6.44,6.118,19.7715,21.294175,14.963144,56.028819,4.75,2.25,2.25,7.8,38.2716049382716,50.6172839506173,50.6172839506173,21.5686274509804,-254.838709677419,-168.292682926829,-168.292682926829,-241.463414634146,0,0,0
21,B CW,0.12,0.09,0.02,0.23,115,7,3,1,7.7,8.855,14.25655,0.12,0.09,0.02,0.23,115,4,2,2,5.6,6.44,5.9248,0.11,0.09,0.02,0.22,118,5,3,1,6.3,7.434,8.1774,0.13,0.09,0.02,0.24,115,4,3,2,6.3,7.245,6.9552,18.9385,24.762885,14.82418,58.525565,59.25,59.25,56.4545454545455,61.6153846153846,-35.8024691358024,-35.8024691358024,-20.8791208791209,-54.9295774647887,-448.387096774193,-448.387096774193,-416.129032258065,-480.645161290323,61.6153846153846,0,0,0.12,0.09,0.02,0.23,115,3,3,1,4.9,5.635,3.88815,0.12,0.09,0.02,0.23,115,4,2,2,5.6,6.44,5.9248,0.11,0.08,0.02,0.21,115,4,2,2,5.6,6.44,5.4096,0.13,0.09,0.02,0.24,115,4,4,2,7,8.05,7.728,16.6845,17.372705,13.42768,47.484885,59.25,59.25,42.9090909090909,61.6153846153846,-35.8024691358024,-35.8024691358024,-9.8901098901099,-54.9295774647887,-448.387096774193,-448.387096774193,-383.870967741935,-480.645161290323,61.6153846153846,0,0,0.12,0.09,0.02,0.23,115,4,2,2,5.6,6.44,5.9248,0.12,0.09,0.02,0.23,115,4,2,2,5.6,6.44,5.9248,0.11,0.08,0.02,0.21,115,4,2,2,5.6,6.44,5.4096,0.13,0.09,0.02,0.24,115,4,4,2,7,8.05,7.728,17.248,18.79836,13.42768,49.47404,59.25,59.25,42.9090909090909,61.6153846153846,-35.8024691358024,-35.8024691358024,-9.8901098901099,-54.9295774647887,-448.387096774193,-448.387096774193,-383.870967741935,-480.645161290323,61.6153846153846,0,0,0.12,0.09,0.02,0.23,111,4,2,2,5.6,6.216,5.71872,0.12,0.09,0.02,0.23,115,4,2,2,5.6,6.44,5.9248,0.11,0.08,0.02,0.21,115,4,2,2,5.6,6.44,5.4096,0.13,0.09,0.02,0.24,115,5,4,2,7.7,8.855,10.626,17.5812,19.217604,15.45628,52.255084,59.25,59.25,42.9090909090909,61.6153846153846,-35.8024691358024,-35.8024691358024,-9.8901098901099,-54.9295774647887,-448.387096774193,-448.387096774193,-383.870967741935,-480.645161290323,61.6153846153846,0,0
